Handle,Title,Body (HTML),Vendor,Type,Tags,SEO Title,SEO Description
mens-wedding-band-63,Beaded Diagonal Wedding Band in 14K Gold,"<p>The Beaded Diagonal Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Diagonal stripes of fine beading run across the band at a consistent angle, giving it a subtle directional movement without any deep carving.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Beaded Diagonal</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Beaded diagonal texture</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"mens wedding band,textured wedding band,beaded ring,diagonal wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Beaded Diagonal Wedding Band | 14K & 18K Gold,"Beaded diagonal wedding band in 14K or 18K gold. 5mm, made to order in yellow, white, or rose gold."
mens-wedding-band-64,Beaded Column Wedding Band in 14K Gold,"<p>The Beaded Column Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Vertical columns of fine beading run the full width, close-set and evenly spaced. Structured and precise, with a lot of surface detail for a 5mm band.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Beaded Column</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Beaded column texture</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"mens wedding band,textured wedding band,beaded ring,carved wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Beaded Column Wedding Band | 14K & 18K Gold,"Beaded column wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-65,Carved Filigree Wedding Band in 14K Gold,"<p>The Carved Filigree Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Sweeping filigree scrollwork is carved across the band in generous curves, more open and flowing than the tighter engraved styles. Reads ornate from a distance.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Carved Filigree</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Deep carved filigree</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"filigree wedding band,carved wedding band,mens wedding band,vintage wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Carved Filigree Wedding Band | 14K & 18K Gold,"Carved filigree wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-66,Woven Celtic Lattice Wedding Band in 14K Gold,"<p>The Woven Celtic Lattice Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. An open Celtic weave carved right through the band, with genuine negative space between the strands. One of the more dramatic pieces in the collection and noticeably light on the hand for its width.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Woven Celtic Lattice</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Openwork carved lattice</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"celtic wedding band,openwork ring,mens wedding band,irish wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Woven Celtic Lattice Wedding Band | 14K & 18K Gold,"Openwork Celtic lattice wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-67,Argyle Diamond-Cut Wedding Band in 14K Gold,"<p>The Argyle Diamond-Cut Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. A large-scale argyle diamond pattern is diamond-cut into the surface, the facets set at opposing angles so alternating diamonds flash bright and dark.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Argyle</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Diamond-cut argyle pattern</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"diamond cut wedding band,argyle ring,mens wedding band,textured wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Argyle Wedding Band for Men | 14K & 18K Gold,"Argyle diamond-cut wedding band in 14K or 18K gold. 5mm, made to order in yellow, white, or rose gold."
mens-wedding-band-68,Diamond-Cut Braid Wedding Band in 14K Gold,"<p>The Diamond-Cut Braid Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. A braided pattern is diamond-cut rather than carved, so it reads bright and reflective where a carved braid would read as shadow. Considerably more eye-catching in person.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Diamond-Cut Braid</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Diamond-cut braid</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"diamond cut wedding band,braided wedding band,mens wedding band,textured ring,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Diamond-Cut Braid Wedding Band | 14K & 18K Gold,"Diamond-cut braid wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-69,Engraved Fan Wedding Band in 14K Gold,"<p>The Engraved Fan Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Fanned engraving radiates from the edges of the band toward the center in fine parallel cuts, a technique borrowed from antique hand-engraving and executed with modern precision.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Engraved Fan</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Fine engraved fan pattern</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"engraved wedding band,mens wedding band,vintage wedding band,diamond cut wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Engraved Fan Wedding Band | 14K & 18K Gold,"Engraved fan pattern wedding band in 14K or 18K gold. 5mm, made to order in yellow, white, or rose gold."
mens-wedding-band-70,Split Texture Wedding Band in 14K Gold,"<p>The Split Texture Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. The band is divided into diagonal fields, each finished differently: beaded, lined, and polished. An asymmetric design that looks different depending on which way it sits on the hand.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Split Texture</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Mixed diagonal textures</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"mens wedding band,textured wedding band,modern mens ring,mixed finish ring,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Split Texture Wedding Band | 14K & 18K Gold,"Mixed texture wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-71,Engraved Floral Wedding Band in 14K Gold,"<p>The Engraved Floral Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Dense floral engraving covers the entire band edge to edge, in the tradition of Victorian hand-engraved jewelry. Ornate, warm, and unlike anything else in the men's collection.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Engraved Floral</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">All-over floral engraving</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"engraved wedding band,floral wedding band,vintage wedding band,mens wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Engraved Floral Wedding Band | 14K & 18K Gold,"All-over engraved floral wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-72,Engraved Leaf Wedding Band in 14K Gold,"<p>The Engraved Leaf Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Fine leaf and frond engraving runs diagonally across the band against a bright polished ground. Delicate work at a scale that stays legible.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Engraved Leaf</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Diagonal engraved leafwork</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"engraved wedding band,leaf ring,nature wedding band,mens wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Engraved Leaf Wedding Band | 14K & 18K Gold,"Engraved leaf pattern wedding band in 14K or 18K gold. 5mm, made to order in yellow, white, or rose gold."
mens-wedding-band-73,Diagonal Beaded Stripe Wedding Band in 14K Gold,"<p>The Diagonal Beaded Stripe Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Alternating stripes of beaded texture and polished metal run diagonally around the band, giving it a barber-pole rhythm that shows well at any distance.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Diagonal Stripe</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Beaded and polished diagonal stripes</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"mens wedding band,striped wedding band,textured wedding band,diagonal ring,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Diagonal Stripe Wedding Band | 14K & 18K Gold,"Diagonal beaded stripe wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-74,Split Finish Wedding Band in 14K Gold,"<p>The Split Finish Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. One half of the band is left in a fine beaded texture, the other brushed smooth, divided on a clean diagonal. A deliberately unbalanced design for someone who doesn't want symmetrical.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Split Finish</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Split beaded and brushed finish</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"mens wedding band,textured wedding band,modern mens ring,two texture ring,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Split Finish Wedding Band | 14K & 18K Gold,"Split finish wedding band in 14K or 18K gold. 5mm, made to order in yellow, white, or rose gold."
mens-wedding-band-75,Diamond-Cut Argyle Wedding Band in 14K Gold,"<p>The Diamond-Cut Argyle Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. A tight argyle grid is diamond-cut across the full width, each facet angled to throw light independently. Bright and dimensional under any lighting.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Diamond-Cut Argyle</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Diamond-cut argyle grid</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"diamond cut wedding band,argyle ring,mens wedding band,textured wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Diamond-Cut Argyle Wedding Band | 14K & 18K Gold,"Diamond-cut argyle wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-76,"Celtic Knot Wedding Band in 14K Gold, Wide","<p>The Celtic Knot Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Classic Celtic knotwork carved across a wide band with deep, confident relief. The strands are heavy enough that the pattern will still read clearly after decades of wear.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Wide Celtic Knot</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Deep carved knotwork, wide profile</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"celtic wedding band,wide wedding band,celtic knot ring,irish wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Wide Celtic Knot Wedding Band | 14K & 18K Gold,"Wide carved Celtic knot wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-77,Bold Celtic Knot Wedding Band in 14K Gold,"<p>The Bold Celtic Knot Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. An oversized Celtic knot carved at a larger scale than our standard pattern, so each loop stands on its own. Substantial and unmistakable across a room.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Bold Celtic Knot</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Large-scale carved knotwork</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"celtic wedding band,celtic knot ring,wide wedding band,mens wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Bold Celtic Knot Wedding Band | 14K & 18K Gold,"Large-scale carved Celtic knot wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
